Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Referee,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,GBH,GBD,GBA,IWH,IWD,IWA,LBH,LBD,LBA,SBH,SBD,SBA,SJH,SJD,SJA
E0,27-09-2008,Newcastle,Blackburn,1,2,A,0,2,A,S Tanner,4,9,2,8,6,19,5,5,0,4,0,0,2.6,3.3,2.75,2.25,3.15,2.95,2.5,3.25,2.7,2.5,3.2,2.5,2.5,3.3,2.75,2.5,3.2,2.6,2.5,3.25,2.8
E0,27-09-2008,Stoke,Chelsea,0,2,A,0,1,A,M Atkinson,5,14,2,9,9,6,5,5,2,1,0,0,9,4.75,1.36,8,4.25,1.35,9,4.33,1.36,7.5,4.2,1.35,11,4.5,1.33,8,4.2,1.35,9.5,4.5,1.36
E0,28-09-2008,Portsmouth,Tottenham,2,0,H,1,0,H,M Dean,8,15,6,8,18,13,3,6,4,3,1,0,2.5,3.25,3,2.3,3.15,2.85,2.5,3.2,2.75,2.4,3.1,2.7,2.5,3.3,2.8,2.35,3.2,2.75,2.5,3.25,2.8
E0,28-09-2008,Wigan,Man City,2,1,H,2,1,H,S Bennett,9,11,4,6,12,21,5,3,3,4,0,0,3,3.3,2.38,2.95,3.15,2.25,3,3.2,2.3,2.8,3.1,2.3,2.9,3.3,2.4,2.8,3.2,2.3,3,3.25,2.38
E0,04-10-2008,Blackburn,Man United,0,2,A,0,1,A,S Bennett,6,18,3,9,11,8,3,4,2,1,0,0,6,3.75,1.62,5.3,3.5,1.6,6,3.5,1.6,4.5,3.5,1.65,6,3.6,1.62,5.5,3.5,1.57,6,3.6,1.62
E0,04-10-2008,Sunderland,Arsenal,1,1,D,0,0,D,L Mason,8,13,5,7,10,11,1,7,3,5,0,0,6,3.75,1.62,6.5,3.55,1.5,5.75,3.6,1.6,4.5,3.5,1.65,5.5,3.8,1.62,5.5,3.4,1.6,6.5,3.5,1.62
E0,04-10-2008,West Brom,Fulham,1,0,H,0,0,D,P Dowd,13,14,8,5,10,13,8,6,2,1,0,0,2.25,3.25,3.25,2.25,3.15,2.95,2.25,3.2,3.1,2.3,3.1,2.8,2.2,3.3,3.3,2.25,3.2,2.9,2.25,3.25,3.25
E0,04-10-2008,Wigan,Middlesbrough,0,1,A,0,0,D,M Atkinson,21,6,9,2,10,13,8,2,3,0,0,0,2.1,3.3,3.6,2.1,3.15,3.25,2.1,3.2,3.5,2,3.2,3.3,2,3.4,3.75,1.95,3.25,3.6,2.1,3.25,3.6
E0,05-10-2008,Chelsea,Aston Villa,2,0,H,2,0,H,C Foy,27,8,15,3,11,13,7,1,0,3,0,0,1.5,4,7,1.4,4,7.5,1.53,3.75,6.5,1.45,3.7,6.5,1.5,3.6,8,1.4,4,7.5,1.44,4,8
E0,05-10-2008,Everton,Newcastle,2,2,D,2,1,H,H Webb,13,11,5,9,18,15,3,5,1,3,0,0,1.73,3.6,5,1.75,3.3,4.4,1.77,3.4,4.5,1.7,3.4,4.3,1.8,3.5,4.5,1.7,3.4,4.5,1.73,3.5,5
E0,05-10-2008,Man City,Liverpool,2,3,A,2,0,H,P Walton,7,14,5,7,11,12,1,7,1,1,1,0,3.2,3.3,2.25,2.95,3.15,2.25,3.2,3.2,2.2,2.8,3.1,2.3,3.25,3.25,2.25,2.8,3.2,2.3,3.25,3.25,2.25
E0,05-10-2008,Portsmouth,Stoke,2,1,H,1,0,H,A Marriner,17,8,11,5,7,15,2,5,0,3,0,0,1.67,3.4,6,1.65,3.4,5,1.72,3.6,4.5,1.6,3.6,4.8,1.62,3.6,6,1.55,3.5,6,1.67,3.4,6
E0,05-10-2008,Tottenham,Hull,0,1,A,0,1,A,R Styles,27,10,16,6,15,15,12,0,4,2,0,0,1.73,3.75,4.75,1.65,3.4,5,1.72,3.4,5,1.65,3.5,4.5,1.73,3.5,5,1.65,3.5,4.75,1.73,3.5,5.2
E0,05-10-2008,West Ham,Bolton,1,3,A,0,2,A,M Dean,13,12,5,6,15,8,7,7,4,3,0,0,1.83,3.4,4.75,1.75,3.3,4.45,1.83,3.25,4.6,1.8,3.2,4,1.8,3.5,4.5,1.7,3.4,4.5,1.8,3.3,5
E0,18-10-2008,Arsenal,Everton,3,1,H,0,1,A,P Walton,22,7,14,3,8,13,7,4,2,4,0,0,1.36,4.5,10,1.35,4.25,8,1.4,4.33,8.5,1.37,4.2,7.5,1.36,4.33,10,1.35,4.2,8,1.36,4.33,10
E0,18-10-2008,Aston Villa,Portsmouth,0,0,D,0,0,D,M Riley,10,8,3,3,18,19,11,2,1,3,0,1,1.83,3.25,5,1.75,3.3,4.45,1.85,3.2,4.75,1.8,3.2,4,1.83,3.4,4.5,1.8,3.2,4.3,1.83,3.4,4.5
E0,18-10-2008,Bolton,Blackburn,0,0,D,0,0,D,H Webb,10,8,4,1,16,12,11,8,1,3,0,0,2.4,3.25,3,2.3,3.15,2.85,2.5,3.2,2.85,2.2,3.1,3,2.38,3.25,3,2.25,3.2,2.9,2.38,3.25,3
E0,18-10-2008,Fulham,Sunderland,0,0,D,0,0,D,K Stroud,13,14,9,7,12,8,8,5,1,1,0,0,2.25,3.25,3.3,2.15,3.15,3.15,2.25,3.2,3.25,2.25,3.1,2.9,2.3,3.4,3,2.2,3.2,3,2.25,3.25,3.25
